filepaths,family,genus,species,serialnumber,clusterID
/Users/shawn/Developer/randall_interested_edited/Mullidae/Upeneus_Upeneus pori_-970908580.jpg,Mullidae,Upeneus,pori_-970908580.jpg,Upeneus pori,10.0
/Users/shawn/Developer/randall_interested_edited/Mullidae/Upeneus_Upeneus vittatus_1844271814.jpg,Mullidae,Upeneus,vittatus_1844271814.jpg,Upeneus vittatus,5.0
/Users/shawn/Developer/randall_interested_edited/Mullidae/Parupeneus_Parupeneus jansenii_-75387827.jpg,Mullidae,Parupeneus,jansenii_-75387827.jpg,Parupeneus jansenii,10.0
/Users/shawn/Developer/randall_interested_edited/Mullidae/Parupeneus_Parupeneus porphyreus_-330201940.jpg,Mullidae,Parupeneus,porphyreus_-330201940.jpg,Parupeneus porphyreus,10.0
/Users/shawn/Developer/randall_interested_edited/Mullidae/Mulloidichthys_Mulloidichthys pfluegeri_1390249049.jpg,Mullidae,Mulloidichthys,pfluegeri_1390249049.jpg,Mulloidichthys pfluegeri,10.0
/Users/shawn/Developer/randall_interested_edited/Mullidae/Upeneus_Upeneus sulphureus_431295668.jpg,Mullidae,Upeneus,sulphureus_431295668.jpg,Upeneus sulphureus,5.0
/Users/shawn/Developer/randall_interested_edited/Mullidae/Upeneus_Upeneus francisi_-672311472.jpg,Mullidae,Upeneus,francisi_-672311472.jpg,Upeneus francisi,5.0
/Users/shawn/Developer/randall_interested_edited/Mullidae/Upeneus_Upeneus quadrilineatus_268057123.jpg,Mullidae,Upeneus,quadrilineatus_268057123.jpg,Upeneus quadrilineatus,5.0
/Users/shawn/Developer/randall_interested_edited/Mullidae/Parupeneus_Parupeneus chrysonemus_-606241834.jpg,Mullidae,Parupeneus,chrysonemus_-606241834.jpg,Parupeneus chrysonemus,10.0
/Users/shawn/Developer/randall_interested_edited/Mullidae/Parupeneus_Parupeneus multifasciatus_-1586561157.jpg,Mullidae,Parupeneus,multifasciatus_-1586561157.jpg,Parupeneus multifasciatus,2.0
/Users/shawn/Developer/randall_interested_edited/Mullidae/Parupeneus_Parupeneus heptacanthus_72267288.jpg,Mullidae,Parupeneus,heptacanthus_72267288.jpg,Parupeneus heptacanthus,10.0
/Users/shawn/Developer/randall_interested_edited/Mullidae/Mulloidichthys_Mulloidichthys pfluegeri_-1357366874.jpg,Mullidae,Mulloidichthys,pfluegeri_-1357366874.jpg,Mulloidichthys pfluegeri,10.0
/Users/shawn/Developer/randall_interested_edited/Mullidae/Parupeneus_Parupeneus spilurus_-1140380998.jpg,Mullidae,Parupeneus,spilurus_-1140380998.jpg,Parupeneus spilurus,10.0
/Users/shawn/Developer/randall_interested_edited/Mullidae/Parupeneus_Parupeneus sp._-320465715.jpg,Mullidae,Parupeneus,sp._-320465715.jpg,Parupeneus sp.,10.0
/Users/shawn/Developer/randall_interested_edited/Mullidae/Upeneus_Upeneus guttatus_-855662015.jpg,Mullidae,Upeneus,guttatus_-855662015.jpg,Upeneus guttatus,10.0
/Users/shawn/Developer/randall_interested_edited/Mullidae/Parupeneus_Parupeneus chrysonemus_-698694334.jpg,Mullidae,Parupeneus,chrysonemus_-698694334.jpg,Parupeneus chrysonemus,10.0
/Users/shawn/Developer/randall_interested_edited/Mullidae/Parupeneus_Parupeneus heptacanthus_-1296173454.jpg,Mullidae,Parupeneus,heptacanthus_-1296173454.jpg,Parupeneus heptacanthus,10.0
/Users/shawn/Developer/randall_interested_edited/Mullidae/Upeneus_Upeneus doriae_1903959250.jpg,Mullidae,Upeneus,doriae_1903959250.jpg,Upeneus doriae,10.0
/Users/shawn/Developer/randall_interested_edited/Mullidae/Upeneus_Upeneus sulphureus_1118583958.jpg,Mullidae,Upeneus,sulphureus_1118583958.jpg,Upeneus sulphureus,10.0
/Users/shawn/Developer/randall_interested_edited/Mullidae/Parupeneus_Parupeneus pleurostigma_382989623.jpg,Mullidae,Parupeneus,pleurostigma_382989623.jpg,Parupeneus pleurostigma,10.0
/Users/shawn/Developer/randall_interested_edited/Mullidae/Parupeneus_Parupeneus chrysonemus_-1684185612.jpg,Mullidae,Parupeneus,chrysonemus_-1684185612.jpg,Parupeneus chrysonemus,10.0
/Users/shawn/Developer/randall_interested_edited/Mullidae/Upeneus_Upeneus tragula_-1413122514.jpg,Mullidae,Upeneus,tragula_-1413122514.jpg,Upeneus tragula,13.0
/Users/shawn/Developer/randall_interested_edited/Mullidae/Parupeneus_Parupeneus multifasciatus_455450565.jpg,Mullidae,Parupeneus,multifasciatus_455450565.jpg,Parupeneus multifasciatus,10.0
/Users/shawn/Developer/randall_interested_edited/Mullidae/Parupeneus_Parupeneus spilurus_170237619.jpg,Mullidae,Parupeneus,spilurus_170237619.jpg,Parupeneus spilurus,10.0
/Users/shawn/Developer/randall_interested_edited/Mullidae/Parupeneus_Parupeneus bifasciatus_201041768.jpg,Mullidae,Parupeneus,bifasciatus_201041768.jpg,Parupeneus bifasciatus,10.0
/Users/shawn/Developer/randall_interested_edited/Mullidae/Upeneus_Upeneus sundaicus_596244059.jpg,Mullidae,Upeneus,sundaicus_596244059.jpg,Upeneus sundaicus,5.0
/Users/shawn/Developer/randall_interested_edited/Mullidae/Parupeneus_Parupeneus jansenii_148404106.jpg,Mullidae,Parupeneus,jansenii_148404106.jpg,Parupeneus jansenii,10.0
/Users/shawn/Developer/randall_interested_edited/Mullidae/Upeneus_Upeneus vittatus_2142360858.jpg,Mullidae,Upeneus,vittatus_2142360858.jpg,Upeneus vittatus,5.0
/Users/shawn/Developer/randall_interested_edited/Mullidae/Parupeneus_Parupeneus heptacanthus_2068416271.jpg,Mullidae,Parupeneus,heptacanthus_2068416271.jpg,Parupeneus heptacanthus,10.0
/Users/shawn/Developer/randall_interested_edited/Mullidae/Upeneus_Upeneus subvittatus_-932652791.jpg,Mullidae,Upeneus,subvittatus_-932652791.jpg,Upeneus subvittatus,5.0
/Users/shawn/Developer/randall_interested_edited/Mullidae/Upeneus_Upeneus taeniopterus_-75444223.jpg,Mullidae,Upeneus,taeniopterus_-75444223.jpg,Upeneus taeniopterus,5.0
